------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id                Marker lineage          # genomes   # markers   # marker sets    0     1     2    3    4    5+   Completeness   Contamination   Strain heterogeneity  
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  bin.unbinned           root (UID1)               5656         56            24         0     0     0    0    0    56      100.00         1770.45              8.44          
  bin.26                 root (UID1)               5656         56            24         0     0     15   40   1    0       100.00          184.97             69.50          
  bin.15             k__Bacteria (UID203)          5449        103            57         0     4     6    12   13   68      100.00          493.72             14.99          
  bin.25         o__Lactobacillales (UID544)       293         475           267         1    472    2    0    0    0       99.63            0.75               0.00          
  bin.13          o__Clostridiales (UID1212)       172         263           149         1    234    26   0    2    0       99.33           10.57              10.53          
  bin.31          o__Bacteroidales (UID2657)       160         492           269         3    481    8    0    0    0       98.88            1.26              25.00          
  bin.35          p__Bacteroidetes (UID2605)       350         314           208         3    310    1    0    0    0       98.56            0.48               0.00          
  bin.39          o__Bacteroidales (UID2657)       160         492           269         43   449    0    0    0    0       98.23            0.00               0.00          
  bin.21          o__Clostridiales (UID1120)       304         249           142         17    79    87   46   19   1       97.68           110.90              6.59          
  bin.53         f__Lachnospiraceae (UID1286)       57         420           207         17   401    2    0    0    0       97.54            0.36              100.00         
  bin.65          o__Clostridiales (UID1212)       172         263           149         12   243    8    0    0    0       97.17            3.15              62.50          
  bin.50          o__Bacteroidales (UID2621)       198         427           260         9    413    5    0    0    0       97.12            1.67              40.00          
  bin.58          o__Bacteroidales (UID2654)       163         486           266         47   423    14   2    0    0       97.03            4.87              35.00          
  bin.20          o__Bacteroidales (UID2621)       198         427           260         35   392    0    0    0    0       96.07            0.00               0.00          
  bin.57         p__Actinobacteria (UID2112)        31         211           124         9    199    2    1    0    0       95.16            0.81              20.00          
  bin.19          o__Clostridiales (UID1212)       172         261           147         43   214    4    0    0    0       95.04            0.79              100.00         
  bin.62          o__Clostridiales (UID1226)       155         278           158         30   241    7    0    0    0       94.65            3.16              57.14          
  bin.24         f__Lachnospiraceae (UID1256)       33         333           171         44   198    86   5    0    0       92.45           26.23              10.89          
  bin.2           o__Clostridiales (UID1226)       155         278           158         76    55   141   5    1    0       85.99           69.88              90.12          
  bin.37         p__Actinobacteria (UID2112)        31         211           124         29   180    2    0    0    0       85.58            1.61              50.00          
  bin.46          o__Clostridiales (UID1212)       172         263           149         57   188    15   3    0    0       85.13            8.67               0.00          
  bin.40          o__Clostridiales (UID1212)       172         257           149         52   163    41   1    0    0       77.95           16.06              13.64          
  bin.33         f__Lachnospiraceae (UID1256)       33         333           171        101   220    11   1    0    0       76.58            5.80               7.14          
  bin.10          o__Clostridiales (UID1212)       172         257           149         73   147    35   2    0    0       75.86           16.28               9.76          
  bin.64         f__Lachnospiraceae (UID1256)       33         333           171         88   243    2    0    0    0       75.63            0.05              100.00         
  bin.23          o__Bacteroidales (UID2657)       160         492           269        138   338    16   0    0    0       74.96            2.18              68.75          
  bin.61             k__Bacteria (UID203)          5449        104            58         59    43    2    0    0    0       67.24            1.72              100.00         
  bin.4           o__Clostridiales (UID1226)       155         278           158        115   158    5    0    0    0       65.95            2.32               0.00          
  bin.56          o__Clostridiales (UID1212)       172         263           149        124   135    4    0    0    0       62.77            1.68               0.00          
  bin.38          o__Clostridiales (UID1212)       172         261           147        109   149    3    0    0    0       62.64            0.57              100.00         
  bin.45          o__Clostridiales (UID1212)       172         263           149        112   135    14   2    0    0       61.57            5.57              25.00          
  bin.17         p__Actinobacteria (UID2112)        31         211           124         93   114    4    0    0    0       61.02            2.28              75.00          
  bin.14          o__Clostridiales (UID1212)       172         263           149        122   109    32   0    0    0       55.54           15.22               3.12          
  bin.6          p__Actinobacteria (UID2112)        31         211           124         77   133    1    0    0    0       54.03            0.81               0.00          
  bin.43             k__Bacteria (UID203)          5449        103            57         67    28    8    0    0    0       53.51           13.16              87.50          
  bin.66          o__Clostridiales (UID1226)       155         278           158        167   102    9    0    0    0       51.81            5.70              88.89          
  bin.44             k__Bacteria (UID203)          5449        103            57         63    36    4    0    0    0       49.76            3.51               0.00          
  bin.59             k__Bacteria (UID203)          5449        102            56         71    31    0    0    0    0       48.21            0.00               0.00          
  bin.11          o__Clostridiales (UID1212)       172         263           149        141   121    1    0    0    0       46.56            0.02               0.00          
  bin.42          o__Clostridiales (UID1212)       172         263           149        148   106    9    0    0    0       40.12            5.48              55.56          
  bin.41             k__Bacteria (UID203)          5449        102            56         77    25    0    0    0    0       32.31            0.00               0.00          
  bin.8              k__Bacteria (UID203)          5449        103            57         81    14    7    1    0    0       30.46           14.19               0.00          
  bin.63             k__Bacteria (UID203)          5449        104            58         84    19    1    0    0    0       29.47            1.72              100.00         
  bin.1              k__Bacteria (UID203)          5449        103            57         85    17    1    0    0    0       28.95            1.75              100.00         
  bin.47             k__Bacteria (UID203)          5449        104            58         82    22    0    0    0    0       28.37            0.00               0.00          
  bin.3              k__Bacteria (UID203)          5449        104            58         74    27    3    0    0    0       27.59            1.18              66.67          
  bin.16             k__Bacteria (UID203)          5449        102            56         83    19    0    0    0    0       24.59            0.00               0.00          
  bin.55             k__Bacteria (UID203)          5449        103            57         83    20    0    0    0    0       24.30            0.00               0.00          
  bin.22             k__Bacteria (UID203)          5449        103            57         89    14    0    0    0    0       22.81            0.00               0.00          
  bin.34             k__Bacteria (UID203)          5449        104            58         90    11    3    0    0    0       22.41            3.45              100.00         
  bin.49              k__Archaea (UID2)            207         149           107        117    31    1    0    0    0       19.70            0.47               0.00          
  bin.52                 root (UID1)               5656         56            24         53    3     0    0    0    0       12.50            0.00               0.00          
  bin.30                 root (UID1)               5656         56            24         53    3     0    0    0    0       12.50            0.00               0.00          
  bin.29             k__Bacteria (UID203)          5449        103            57         96    7     0    0    0    0       12.28            0.00               0.00          
  bin.36             k__Bacteria (UID203)          5449        103            57         98    5     0    0    0    0        8.77            0.00               0.00          
  bin.9              k__Bacteria (UID203)          5449        104            58         98    6     0    0    0    0        8.62            0.00               0.00          
  bin.27                 root (UID1)               5656         56            24         54    2     0    0    0    0        8.33            0.00               0.00          
  bin.48             k__Bacteria (UID203)          5449        104            58        100    3     1    0    0    0        6.90            1.72              100.00         
  bin.60             k__Bacteria (UID203)          5449        104            58         97    7     0    0    0    0        1.10            0.00               0.00          
  bin.7                  root (UID1)               5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
  bin.54                 root (UID1)               5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
  bin.51                 root (UID1)               5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
  bin.5                  root (UID1)               5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
  bin.32                 root (UID1)               5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
  bin.28                 root (UID1)               5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
  bin.18                 root (UID1)               5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
  bin.12                 root (UID1)               5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id                  Marker lineage            # genomes   # markers   # marker sets    0     1    2    3    4   5+   Completeness   Contamination   Strain heterogeneity  
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  bin.unbinned             root (UID1)                 5656         56            24         0     0    1    1    0   54      100.00         1047.07              4.63          
  bin.62               k__Bacteria (UID203)            5449        104            58         0     8    86   10   0   0       100.00          102.59             50.00          
  bin.77           f__Lachnospiraceae (UID1286)         57         420           207         1    418   1    0    0   0       99.52            0.16               0.00          
  bin.59            o__Bacteroidales (UID2621)         198         427           260         2    425   0    0    0   0       99.42            0.00               0.00          
  bin.6             o__Clostridiales (UID1226)         155         278           158         1    276   1    0    0   0       99.37            0.63               0.00          
  bin.31            o__Clostridiales (UID1226)         155         274           157         1    273   0    0    0   0       99.36            0.00               0.00          
  bin.81            o__Clostridiales (UID1212)         172         263           149         1    244   18   0    0   0       99.33            6.04               0.00          
  bin.4             o__Clostridiales (UID1212)         172         257           149         1    252   4    0    0   0       99.33            1.25               0.00          
  bin.37            o__Bacteroidales (UID2657)         160         492           269         2    486   4    0    0   0       99.26            1.49              25.00          
  bin.61            o__Bacteroidales (UID2657)         160         492           269         46   445   1    0    0   0       98.24            0.19               0.00          
  bin.23           f__Lachnospiraceae (UID1286)         57         420           207         17   397   5    1    0   0       97.58            2.29              12.50          
  bin.67            o__Clostridiales (UID1226)         155         278           158         22   254   2    0    0   0       96.96            0.79              100.00         
  bin.42            o__Clostridiales (UID1212)         172         263           149         7    256   0    0    0   0       96.64            0.00               0.00          
  bin.98               k__Bacteria (UID203)            5449        104            58         3     35   41   23   2   0       95.69           99.69              19.67          
  bin.96               k__Bacteria (UID203)            5449        104            58         3     34   40   23   4   0       95.69           106.58             18.05          
  bin.47           f__Lachnospiraceae (UID1256)         33         333           171         21   308   4    0    0   0       92.98            1.07               0.00          
  bin.2             o__Clostridiales (UID1212)         172         263           149         30   228   5    0    0   0       92.09            2.48              100.00         
  bin.45            o__Clostridiales (UID1212)         172         263           149         22   238   3    0    0   0       91.54            1.12               0.00          
  bin.69            o__Clostridiales (UID1212)         172         263           149         49   213   1    0    0   0       90.16            0.22               0.00          
  bin.1                k__Bacteria (UID203)            5449        102            56         10    60   32   0    0   0       88.96           31.43              46.88          
  bin.88           p__Actinobacteria (UID2112)          31         211           124         17   194   0    0    0   0       88.71            0.00               0.00          
  bin.53            o__Clostridiales (UID1226)         155         278           158         53   196   28   1    0   0       85.42           12.86               9.68          
  bin.30         c__Deltaproteobacteria (UID3218)       61         284           169         37   247   0    0    0   0       84.02            0.00               0.00          
  bin.5               k__Bacteria (UID2372)            131         177           106         45   123   8    1    0   0       83.87            3.44              36.36          
  bin.10            o__Clostridiales (UID1212)         172         263           149         37   226   0    0    0   0       83.22            0.00               0.00          
  bin.13            o__Clostridiales (UID1212)         172         263           149         70   190   2    1    0   0       81.36            2.01              40.00          
  bin.3                k__Bacteria (UID203)            5449        104            58         55    48   1    0    0   0       73.43            1.72               0.00          
  bin.29            o__Clostridiales (UID1226)         155         278           158         60   210   8    0    0   0       71.31            2.90              75.00          
  bin.22            o__Clostridiales (UID1342)          32         340           177        141   178   20   1    0   0       64.48            9.14              65.22          
  bin.25            o__Clostridiales (UID1212)         172         261           147        100   158   3    0    0   0       64.12            2.04              100.00         
  bin.40             p__Firmicutes (UID1022)           100         295           158        109   185   1    0    0   0       62.03            0.63               0.00          
  bin.38         f__Bifidobacteriaceae (UID1462)        65         476           217        217   256   3    0    0   0       57.34            0.55              33.33          
  bin.94            o__Clostridiales (UID1212)         172         263           149         92   171   0    0    0   0       56.38            0.00               0.00          
  bin.8                k__Bacteria (UID203)            5449        103            57         67    36   0    0    0   0       56.14            0.00               0.00          
  bin.24            o__Clostridiales (UID1212)         172         263           149        148   115   0    0    0   0       55.48            0.00               0.00          
  bin.43           o__Selenomonadales (UID1024)         64         334           167        140   194   0    0    0   0       55.09            0.00               0.00          
  bin.11            o__Clostridiales (UID1226)         155         278           158        134   136   8    0    0   0       54.15            1.07              12.50          
  bin.66            o__Clostridiales (UID1212)         172         263           149        110   152   1    0    0   0       53.02            0.67               0.00          
  bin.84            o__Bacteroidales (UID2654)         163         486           266        189   297   0    0    0   0       50.75            0.00               0.00          
  bin.82               k__Bacteria (UID203)            5449        104            58         69    35   0    0    0   0       50.00            0.00               0.00          
  bin.50              k__Bacteria (UID2372)            131         177           106         95    70   12   0    0   0       49.74           10.04               8.33          
  bin.90               k__Bacteria (UID203)            5449        104            58         71    33   0    0    0   0       48.28            0.00               0.00          
  bin.17               k__Bacteria (UID203)            5449        103            57         71    32   0    0    0   0       46.81            0.00               0.00          
  bin.74            o__Clostridiales (UID1212)         172         263           149        118   145   0    0    0   0       42.62            0.00               0.00          
  bin.12               k__Bacteria (UID203)            5449        104            58         77    27   0    0    0   0       41.38            0.00               0.00          
  bin.44               k__Bacteria (UID203)            5449        104            58         75    29   0    0    0   0       40.52            0.00               0.00          
  bin.35               k__Bacteria (UID203)            5449        103            57         77    26   0    0    0   0       40.35            0.00               0.00          
  bin.95               k__Bacteria (UID203)            5449        103            57         69    34   0    0    0   0       38.66            0.00               0.00          
  bin.68               k__Bacteria (UID203)            5449        102            56         77    25   0    0    0   0       38.39            0.00               0.00          
  bin.93               k__Bacteria (UID203)            5449        103            58         80    2    21   0    0   0       37.93           35.34              100.00         
