  Bin-Id                  Marker-lineage            # genomes   # markers   # marker-sets    0     1     2    3    4    5+   Completeness   Contamination   Strain-heterogeneity  
  bin.unbinned             root (UID1)                 5656         56            24         0     0     0    0    0    56      100.00         3296.28              4.59          
  bin.90           p__Actinobacteria (UID2112)          31         211           124         0    210    1    0    0    0       100.00           0.81               0.00          
  bin.19             p__Euryarchaeota (UID3)           148         188           125         0    188    0    0    0    0       100.00           0.00               0.00          
  bin.134          o__Selenomonadales (UID1024)         64         334           167         0    334    0    0    0    0       100.00           0.00               0.00          
  bin.111        f__Bifidobacteriaceae (UID1462)        65         476           217         4    467    5    0    0    0       98.96            0.96              40.00          
  bin.55            o__Clostridiales (UID1212)         172         263           149         2    261    0    0    0    0       98.66            0.00               0.00          
  bin.116           o__Clostridiales (UID1212)         172         263           149         3    259    1    0    0    0       98.66            0.67               0.00          
  bin.60           p__Actinobacteria (UID2112)          31         211           124         3    208    0    0    0    0       98.66            0.00               0.00          
  bin.33            o__Clostridiales (UID1212)         172         263           149         3    258    2    0    0    0       98.32            1.34               0.00          
  bin.191           o__Clostridiales (UID1226)         155         278           158         5    273    0    0    0    0       98.10            0.00               0.00          
  bin.131          p__Proteobacteria (UID3887)         1487        256           160         5    250    1    0    0    0       97.40            0.62               0.00          
  bin.105           o__Clostridiales (UID1212)         172         263           149         4    259    0    0    0    0       97.32            0.00               0.00          
  bin.178           p__Bacteroidetes (UID2605)         350         314           208         23   290    1    0    0    0       97.12            0.02              100.00         
  bin.34            o__Clostridiales (UID1212)         172         263           149         5    258    0    0    0    0       97.09            0.00               0.00          
  bin.74            o__Bacteroidales (UID2657)         160         492           269         47   422    23   0    0    0       96.33            5.48              47.83          
  bin.81            o__Clostridiales (UID1212)         172         263           149         8    253    2    0    0    0       96.31            1.01               0.00          
  bin.12            o__Bacteroidales (UID2657)         160         491           268         54   437    0    0    0    0       96.14            0.00               0.00          
  bin.70            o__Bacteroidales (UID2657)         160         492           269         59   431    2    0    0    0       95.86            0.74              50.00          
  bin.57            o__Bacteroidales (UID2621)         198         427           260         18   407    2    0    0    0       95.77            0.58              50.00          
  bin.78            o__Clostridiales (UID1212)         172         263           149         8    212    31   8    0    4       95.75           29.31               4.21          
  bin.42         c__Deltaproteobacteria (UID3218)       61         284           169         9    273    2    0    0    0       95.74            0.79               0.00          
  bin.31              k__Bacteria (UID2372)            131         177           106         11   160    6    0    0    0       95.55            2.73              16.67          
  bin.180          f__Lachnospiraceae (UID1286)         57         420           207         26   392    2    0    0    0       95.41            0.97               0.00          
  bin.132           o__Bacteroidales (UID2657)         160         491           268         43   443    5    0    0    0       95.35            1.49               0.00          
  bin.25           f__Lachnospiraceae (UID1256)         33         333           171         34   276    22   1    0    0       95.30            7.80               0.00          
  bin.98            p__Bacteroidetes (UID2605)         350         314           208         13   299    2    0    0    0       95.19            0.96               0.00          
  bin.30            o__Clostridiales (UID1226)         155         278           158         33   243    2    0    0    0       95.08            0.79              50.00          
  bin.151          f__Lachnospiraceae (UID1255)         90         354           174         22   322    9    1    0    0       94.97            3.09              16.67          
  bin.193          f__Lachnospiraceae (UID1255)         90         354           174         34    92    81   75   46   26      94.82           147.56              3.67          
  bin.130           o__Clostridiales (UID1212)         172         263           149         10   247    6    0    0    0       94.74            3.47               0.00          
  bin.83            p__Bacteroidetes (UID2605)         350         316           210         13   298    5    0    0    0       94.60            2.06              40.00          
  bin.179             k__Bacteria (UID2982)             88         230           148         12   215    3    0    0    0       94.44            1.04              33.33          
  bin.92           f__Lachnospiraceae (UID1286)         57         420           207         32   382    5    1    0    0       94.42            1.85              12.50          
  bin.28              k__Bacteria (UID2569)            434         278           186         15   250    13   0    0    0       94.34            5.10              69.23          
  bin.27            o__Clostridiales (UID1212)         172         263           149         15   247    1    0    0    0       94.30            0.17               0.00          
  bin.6            p__Proteobacteria (UID3887)         1487        256           160         53   202    1    0    0    0       94.06            0.21               0.00          
  bin.86            o__Clostridiales (UID1212)         172         263           149         10   251    2    0    0    0       93.94            1.34               0.00          
  bin.43              k__Bacteria (UID2329)            174         149            89         6    141    2    0    0    0       93.82            1.69               0.00          
  bin.66           f__Lachnospiraceae (UID1286)         57         420           207         69   311    35   5    0    0       93.30           12.15               4.00          
  bin.176           o__Clostridiales (UID1226)         155         278           158         18   253    7    0    0    0       92.98            2.03               0.00          
  bin.87            o__Clostridiales (UID1212)         172         263           149         41    90   127   5    0    0       92.98           60.70               2.11          
  bin.188           o__Clostridiales (UID1212)         172         263           149         37   214    12   0    0    0       92.93            3.83              50.00          
  bin.97               k__Bacteria (UID203)            5449        103            57         21    18    44   18   2    0       91.31           103.48             40.00          
  bin.114             k__Bacteria (UID2329)            174         149            89         9    138    2    0    0    0       91.29            2.25               0.00          
  bin.154           o__Clostridiales (UID1212)         172         263           149         18   204    30   11   0    0       91.28           14.24              25.40          
  bin.161           o__Clostridiales (UID1226)         155         278           158         18   243    15   2    0    0       91.14            7.07               4.76          
  bin.153              k__Bacteria (UID203)            5449        103            57         7     59    17   20   0    0       90.35           12.60              31.17          
  bin.123           o__Clostridiales (UID1212)         172         263           149         19   243    1    0    0    0       89.60            0.67               0.00          
  bin.175          f__Lachnospiraceae (UID1256)         33         333           171         29   291    12   1    0    0       88.67            5.12              46.67          
  bin.107           o__Clostridiales (UID1212)         172         263           149         50   201    12   0    0    0       88.66            3.98              50.00          
  bin.80           f__Lachnospiraceae (UID1286)         57         420           207         76   340    4    0    0    0       88.58            1.55              100.00         
  bin.165           o__Clostridiales (UID1212)         172         263           149         21   238    4    0    0    0       88.48            1.34              25.00          
  bin.39            o__Clostridiales (UID1212)         172         263           149         39   205    16   3    0    0       88.08            6.12              28.00          
  bin.84              k__Bacteria (UID2329)            174         149            89         32   116    1    0    0    0       87.93            1.12               0.00          
  bin.110            p__Firmicutes (UID1022)           100         295           158         44   249    2    0    0    0       87.25            1.27              50.00          
  bin.124              k__Bacteria (UID203)            5449        103            57         35    11    52   4    1    0       87.12           89.52              75.71          
  bin.67           f__Lachnospiraceae (UID1256)         33         333           171         44   254    33   2    0    0       86.13           16.13              10.26          
  bin.190           o__Clostridiales (UID1212)         172         263           149         71    97    84   9    2    0       85.72           47.73              74.80          
  bin.63            o__Clostridiales (UID1212)         172         263           149         54   181    27   1    0    0       85.60           10.42              10.00          
  bin.3              g__Bacteroides (UID2691)           33         839           309        142   396   265   30   5    1       85.29           44.53              49.62          
  bin.129           o__Clostridiales (UID1212)         172         263           149         35   224    4    0    0    0       84.42            1.57              25.00          
  bin.16            o__Clostridiales (UID1212)         172         263           149         64   181    17   1    0    0       84.32            8.17              45.00          
  bin.147           o__Clostridiales (UID1226)         155         278           158         70   205    3    0    0    0       84.13            0.90              33.33          
  bin.14             c__Clostridia (UID1085)            35         420           196         78   338    4    0    0    0       81.74            1.21               0.00          
  bin.119           o__Clostridiales (UID1212)         172         257           149         38   218    1    0    0    0       81.54            0.67               0.00          
  bin.152           o__Clostridiales (UID1212)         172         263           149         58   198    7    0    0    0       80.45            3.66              57.14          
  bin.69            o__Clostridiales (UID1212)         172         263           149         67   183    13   0    0    0       80.22            4.49              15.38          
  bin.73               k__Bacteria (UID203)            5449        104            58         26    57    11   10   0    0       79.55           14.04              21.95          
  bin.62            o__Bacteroidales (UID2657)         160         492           269        133   353    6    0    0    0       78.29            1.30               0.00          
